ActualRank,PolyRank,GFLOPS,Version
1,20,1836.4,1
2,103,1834.8,1
3,80,1828.8,1
4,105,1827.2,1
5,89,1825.6,1
6,107,1824.8,1
7,87,1822.2,1
8,22,1819.4,1
9,25,1818.3,1
10,26,1818.2,1
11,27,1816.8,1
12,106,1816.5,1
13,104,1816.3,1
14,28,1816.1,1
15,17,1814,1
16,81,1811.1,3
17,23,1810.6,1
18,114,1809.9,1
19,134,1809.5,0
20,111,1807.8,1
21,77,1806,1
22,88,1804.3,1
23,24,1803.9,1
24,90,1794.6,1
25,118,1792.6,1
26,141,1791.3,0
27,21,1789.5,1
28,40,1786.1,1
29,142,1785.2,0
30,102,1785.2,1
31,144,1784.9,0
32,74,1784.8,1
34,18,1784.5,1
33,34,1784.5,1
35,99,1782.4,1
36,85,1781.7,1
37,82,1781.6,5
38,140,1780.5,0
39,121,1778.3,1
40,73,1777.8,1
41,145,1776.2,0
42,119,1776.1,1
44,115,1775.9,1
43,116,1775.9,1
45,112,1775.1,1
46,113,1774.6,1
47,161,1774.4,0
48,162,1773.7,0
49,50,1773,0
50,49,1772.9,0
51,78,1772.3,1
52,120,1768.7,1
53,29,1766.7,1
54,156,1765.8,0
55,30,1763.6,1
56,46,1761.6,0
57,45,1761.4,0
58,75,1759.2,1
59,109,1759.1,1
60,160,1757.8,0
61,131,1756.8,0
62,158,1756.4,0
63,43,1755.9,0
64,32,1754.8,1
65,33,1754.6,1
66,35,1753.7,1
67,36,1751.2,1
68,83,1750.6,1
69,110,1750.5,1
70,151,1750.2,0
71,47,1749.4,0
72,139,1745.9,0
73,101,1744.6,1
74,42,1742.8,0
75,38,1742.7,1
76,37,1741.8,1
77,41,1741.1,0
78,153,1740.2,0
79,154,1739.2,0
80,133,1737.5,0
81,157,1734.2,0
82,86,1730,1
83,62,1728,0
84,44,1726.3,0
85,76,1724.2,1
86,108,1721.2,1
87,132,1720,0
88,65,1719.9,0
89,66,1719.2,0
90,122,1715,1
91,67,1714.7,0
92,70,1714,0
93,48,1712.3,0
94,72,1711,0
95,51,1707.1,0
96,71,1705.9,0
97,69,1705.5,0
98,68,1699.8,0
99,147,1698.9,0
100,54,1695.4,0
101,84,1695,1
102,55,1691.1,0
103,117,1690.7,1
104,64,1688.5,0
105,63,1680.2,0
106,149,1677.2,0
107,31,1676.1,1
108,148,1675.7,0
109,91,1669.6,0
110,56,1668.6,0
111,14,1666.9,1
112,143,1664.5,0
113,15,1663.7,1
114,152,1663.6,0
115,60,1662.4,0
116,126,1661.7,0
117,155,1661.5,0
118,59,1659.4,0
119,97,1649.3,0
120,5,1647.5,1
121,146,1647.4,0
122,98,1647.1,0
123,53,1641.4,0
124,159,1637.7,0
125,94,1637.7,0
126,9,1637.2,1
127,39,1636.9,1
128,1,1636.8,1
129,93,1635.9,0
130,58,1635.9,0
131,163,1629.8,2
132,57,1628.4,0
133,164,1623.5,4
134,92,1618.8,0
135,6,1617.9,1
136,129,1617.9,0
137,130,1617.5,0
138,124,1617.4,0
139,16,1617.3,1
140,96,1611.6,0
141,135,1608.8,0
142,7,1600.4,1
143,2,1593.1,1
144,3,1588.7,1
145,4,1582.3,1
146,8,1573.6,1
147,95,1570.4,0
148,127,1563.4,0
149,12,1559.2,1
150,11,1558.5,1
151,10,1540,1
152,125,1539.8,0
153,128,1519,0
154,79,1468.8,1
155,52,1434.7,0
156,19,1423.5,1
157,100,1419.6,1
158,136,1408.8,0
159,137,1395.2,0
160,138,1391.1,0
161,61,1370.9,0
162,150,1353.4,0
163,123,1313.5,0
164,13,1264.5,1

