100 56 56 64 256 1 1 0 0 1,1,0,85.346,1,87.009,2,85.409,3,87.333,4,85.412,5,87.678,28,0,1549.5,1,1576.2,2,1486.6,3,1619.7,4,1490,5,1576.4,
100 56 56 64 64 1 1 0 0 1,1,0,81.382,1,83.248,2,83.204,3,83.903,4,84.13,5,84.166,28,0,1673.4,1,1793.2,2,1667.9,3,1720.1,4,1713,5,1730.1,
100 56 56 64 64 3 3 1 1 1,1,0,98.708,1,98.736,2,97.375,3,97.096,4,85.035,5,85.271,28,0,2586.4,1,2598.5,2,2571.8,3,2582.1,4,2390.1,5,2399.2,
100 56 56 256 64 1 1 0 0 1,1,0,84.406,1,90.54,2,85.095,3,91.575,4,84.842,5,85.067,28,0,1450.4,1,1521.2,2,1505,3,1492.1,4,1466.3,5,1506.8,
100 28 28 256 512 1 1 0 0 1,1,0,89.138,1,93.942,2,92.828,3,95.626,4,93.092,5,87.093,28,0,2126.3,1,2343,2,2306.8,3,2053.7,4,2304.6,5,2115,
100 28 28 256 128 1 1 0 0 1,1,0,94.424,1,93.472,2,90.845,3,93.93,4,91.197,5,94.905,28,0,2227.4,1,2221.3,2,2166.5,3,2242.9,4,2200.5,5,2254.5,
100 28 28 128 128 3 3 1 1 1,1,0,98.728,1,99.723,2,98.702,3,98.304,4,98.4,5,97.537,28,0,2680.7,1,2721.1,2,2687.9,3,2685.8,4,2679.3,5,2669.4,
100 28 28 128 512 1 1 0 0 1,1,0,87.316,1,90.765,2,91.351,3,92.943,4,92.292,5,86.529,28,0,2135,1,2246.3,2,2349.6,3,1922.5,4,2382,5,2066.1,
100 28 28 512 128 1 1 0 0 1,1,0,94.633,1,95.262,2,92.831,3,94.635,4,92.938,5,95.68,28,0,2170.5,1,1967.7,2,2057.8,3,2070.4,4,2069.7,5,2160.1,
100 14 14 512 1024 1 1 0 0 1,1,0,,1,,2,93.264,3,65.764,4,93.762,5,69.896,28,0,,1,,2,2557.6,3,2071,4,2562.2,5,1970.5,
100 14 14 512 256 1 1 0 0 1,1,0,,1,,2,95.661,3,96.435,4,96.016,5,93.485,28,0,,1,,2,2406.2,3,2473.8,4,2444.1,5,2406.1,
100 14 14 256 256 3 3 1 1 1,1,0,,1,,2,92.651,3,65.757,4,95.149,5,91.176,28,0,,1,,2,2561.2,3,2130.9,4,2648.8,5,2521.7,
100 14 14 256 1024 1 1 0 0 1,1,0,,1,,2,91.857,3,72.848,4,92.371,5,69.684,28,0,,1,,2,2525.3,3,2052.2,4,2535.9,5,2002.6,
100 14 14 1024 256 1 1 0 0 1,1,0,,1,,2,91.512,3,70.514,4,92.021,5,90.557,28,0,,1,,2,2395.5,3,2055.4,4,2413.8,5,2376.6,
100 7 7 1024 2048 1 1 0 0 1,1,0,,1,,2,80.482,3,49.969,4,81.336,5,48.065,28,0,,1,,2,2282,3,1584.9,4,2273.7,5,1470.8,
100 7 7 1024 512 1 1 0 0 1,1,0,,1,,2,80.046,3,44.957,4,80.747,5,69.179,28,0,,1,,2,2275.3,3,1182.3,4,2147.1,5,1813.5,
100 7 7 512 512 3 3 1 1 1,1,0,,1,,2,75.663,3,49.491,4,81.851,5,69.497,28,0,,1,,2,2077.6,3,1466.4,4,2273.5,5,1923.4,
100 7 7 512 2048 1 1 0 0 1,1,0,,1,,2,79.754,3,47.931,4,80.315,5,46.433,28,0,,1,,2,2318.6,3,1508.8,4,2253.4,5,1304.4,
100 7 7 2048 512 1 1 0 0 1,1,0,,1,,2,79.641,3,48.064,4,80.419,5,69.453,28,0,,1,,2,2227.1,3,1332.8,4,2263.2,5,1848.2,
